FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;ADJUSTMENT;Correzione;TYPE_ACCOMMODATION;Tipologia di esercizio;ECON_ACTIVITY_NACE_2007;Attività economica (ATECO 2007);COUNTRY_RES_GUESTS;Paese di residenza dei clienti;TIME_PERIOD;Osservazione;OBS_STATUS;"Stato dell""'osservazione'"
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2009-09;31198
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2009-10;16962
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2009-11;4213
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2009-12;2432
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2010-01;2177
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2010-02;2119
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2010-03;4725
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2010-04;11223
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2010-05;27330
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2010-06;30964
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2010-07;38013
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2010-08;33289
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2010-09;32068
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2010-10;18033
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2010-11;3214
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2010-12;2098
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2011-01;2782
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2011-02;2556
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2011-03;4923
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2011-04;15504
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2011-05;26764
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2011-06;36224
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2011-07;44772
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2011-08;36499
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2011-09;36777
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2011-10;21461
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2011-11;4659
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2011-12;2569
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2012-01;3410
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2012-02;3350
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2012-03;4982
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2012-04;10374
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2012-05;26124
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2012-06;39547
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2012-07;49741
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2012-08;42933
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2012-09;38554
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2012-10;18901
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2012-11;3771
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2012-12;2814
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2013-01;2239
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2013-02;2178
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2013-03;4084
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2013-04;11603
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2013-05;31562
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2013-06;42001
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2013-07;50139
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2013-08;45623
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2013-09;38448
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2013-10;18484
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2013-11;3493
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2013-12;4476
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2014-01;2378
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2014-02;2123
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2014-03;3779
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2014-04;9225
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2014-05;23389
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2014-06;40455
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2014-07;49303
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2014-08;48323
M;Mensile;ITF6;Calabria;AR;Arrivi;N;Dati grezzi;ALL;Totale esercizi ricettivi;551_553;Alberghi e strutture simili; alloggi per vacanze e altre strutture per brevi soggiorni; aree di campeggio e aree attrezzate per camper e roulotte';WRL_X_ITA;Paesi esteri;2014-09;39595
