ARRIVI - ESTERI;PRESENZE - ESTERI;PERMANENZA MEDIA ESTERI;ARRIVI - ITALIANI;PRESENZE - ITALIANI;PERMANENZA MEDIA ITALIANI
31950;144715;4,52942097;87196;195795;2,245458507
48766;298163;6,114157405;179160;724140;4,041862023
66636;460436;6,90971847;298511;1803350;6,041150912
56365;419750;7,44699725;347393;2597009;7,475709067
51581;345965;6,707217774;140127;723500;5,163173407
23336;154239;6,609487487;71257;129389;1,81580757
5216;35430;6,79256135;54225;128887;2,376892577
3796;24333;6,410168599;57722;127985;2,217265514
3726;24847;6,668545357;53591;135826;2,534492732
3560;23072;6,480898876;55795;128230;2,298234609
6688;30291;4,529156699;60124;136630;2,272470228
17382;61171;3,51921528;77466;182136;2,351173418
36125;171862;4,757425606;86641;202144;2,333121732
54388;315455;5,800084577;188919;751364;3,977175403
67801;471210;6,949897494;285349;1822707;6,387641099
57624;407590;7,073268083;355702;2622963;7,374046252
58164;361262;6,211092772;145191;736092;5,069818377
24944;145127;5,818112572;70889;200324;2,825882718
5187;33107;6,382687488;51975;154556;2,973660414
3889;17341;4,458986886;54743;142503;2,60312734
5234;23725;4,532862056;53805;146144;2,716178794
3930;18393;4,680152672;58218;134716;2,313992236
5693;26684;4,68715967;58488;143090;2,446484749
17731;67636;3,814562066;75531;180800;2,393719135
34753;161018;4,633211521;90715;231414;2,551000386
65061;385415;5,923902184;194260;759031;3,907294348
69695;494771;7,099088887;282611;1809250;6,401909338
59734;411850;6,894733318;391846;2680675;6,841144225
62836;400708;6,377045006;151202;789804;5,223502335
27652;157347;5,690257486;68941;186905;2,711086291
6239;28124;4,507773682;53082;124564;2,34663351
4398;18488;4,203728968;54671;128871;2,357209489
4541;14716;3,240695882;50169;107131;2,13540234
3209;13262;4,132751636;48190;95466;1,981033409
407;3093;7,5995086;8352;22064;2,641762452
25;944;37,76;878;8746;9,961275626
78;605;7,756410256;4663;16342;3,504610766
1764;5313;3,011904762;48941;134325;2,744631291
10490;54231;5,169780744;198214;1073960;5,418184387
14701;71308;4,850554384;356645;2050841;5,750370817
15273;89996;5,892490015;115377;552515;4,788779393
7998;45864;5,734433608;38895;77602;1,995166474
546;5114;9,366300366;12262;33659;2,744984505
476;3561;7,481092437;13540;37568;2,774593796
559;4174;7,466905188;14170;36610;2,583627382
612;4352;7,111111111;23141;50784;2,194546476
791;4643;5,869785082;22181;57791;2,605428069
670;4396;6,56119403;18452;54360;2,946022111
2122;8185;3,857210179;30976;83992;2,711518595
8777;40860;4,655349208;114705;444697;3,876875463
28118;159735;5,680880575;265837;1463154;5,50395167
27189;158482;5,828901394;349546;2198755;6,290316582
